id_atencion_por_tipo_consulta,id_clave_rango,id_genero,id_tipo_consulta,total
1,1,1,1,25579
2,1,1,2,12477
3,1,1,3,6110
4,1,1,4,30
5,1,1,5,0
6,1,1,6,842
7,1,2,1,23495
8,1,2,2,12302
9,1,2,3,5702
10,1,2,4,27
11,1,2,5,0
12,1,2,6,770
13,1,3,1,13
14,1,3,2,17
15,1,3,3,0
16,1,3,4,0
17,1,3,5,0
18,1,3,6,0
19,2,1,1,14468
20,2,1,2,10275
21,2,1,3,2215
22,2,1,4,7
23,2,1,5,1
24,2,1,6,273
25,2,2,1,14594
26,2,2,2,9527
27,2,2,3,1965
28,2,2,4,18
29,2,2,5,1
30,2,2,6,242
31,2,3,1,13
32,2,3,2,12
33,2,3,3,0
34,2,3,4,0
35,2,3,5,0
36,2,3,6,0
37,3,1,1,10540
38,3,1,2,8729
39,3,1,3,1379
40,3,1,4,20
41,3,1,5,1
42,3,1,6,145
43,3,2,1,12940
44,3,2,2,8552
45,3,2,3,1311
46,3,2,4,14
47,3,2,5,0
48,3,2,6,184
49,3,3,1,5
50,3,3,2,4
51,3,3,3,1
52,3,3,4,0
53,3,3,5,0
54,3,3,6,0
55,4,1,1,10921
56,4,1,2,8924
57,4,1,3,1386
58,4,1,4,12
59,4,1,5,1
60,4,1,6,134
61,4,2,1,25581
62,4,2,2,12254
63,4,2,3,1860
64,4,2,4,15
65,4,2,5,3
66,4,2,6,352
67,4,3,1,10
68,4,3,2,9
69,4,3,3,1
70,4,3,4,0
71,4,3,5,0
72,4,3,6,0
73,5,1,1,11785
74,5,1,2,9904
75,5,1,3,1569
76,5,1,4,27
77,5,1,5,2
78,5,1,6,140
79,5,2,1,47310
80,5,2,2,18493
81,5,2,3,2298
82,5,2,4,37
83,5,2,5,5
84,5,2,6,554
85,5,3,1,22
86,5,3,2,55
87,5,3,3,2
88,5,3,4,0
89,5,3,5,0
90,5,3,6,0
91,6,1,1,10905
92,6,1,2,11423
93,6,1,3,1452
94,6,1,4,28
95,6,1,5,0
96,6,1,6,149
97,6,2,1,53051
98,6,2,2,19839
99,6,2,3,2259
100,6,2,4,46
101,6,2,5,6
102,6,2,6,548
103,6,3,1,17
104,6,3,2,73
105,6,3,3,4
106,6,3,4,0
107,6,3,5,0
108,6,3,6,0
109,7,1,1,10055
110,7,1,2,10949
111,7,1,3,1351
112,7,1,4,22
113,7,1,5,3
114,7,1,6,105
115,7,2,1,46577
116,7,2,2,19860
117,7,2,3,1890
118,7,2,4,34
119,7,2,5,7
120,7,2,6,425
121,7,3,1,17
122,7,3,2,74
123,7,3,3,2
124,7,3,4,0
125,7,3,5,0
126,7,3,6,1
127,8,1,1,8893
128,8,1,2,11340
129,8,1,3,1216
130,8,1,4,20
131,8,1,5,3
132,8,1,6,115
133,8,2,1,39475
134,8,2,2,17281
135,8,2,3,1637
136,8,2,4,32
137,8,2,5,5
138,8,2,6,370
139,8,3,1,16
140,8,3,2,55
141,8,3,3,6
142,8,3,4,0
143,8,3,5,0
144,8,3,6,0
145,9,1,1,9052
146,9,1,2,10891
147,9,1,3,1036
148,9,1,4,15
149,9,1,5,6
150,9,1,6,125
151,9,2,1,36368
152,9,2,2,17955
153,9,2,3,1463
154,9,2,4,20
155,9,2,5,3
156,9,2,6,316
157,9,3,1,12
158,9,3,2,63
159,9,3,3,4
160,9,3,4,0
161,9,3,5,0
162,9,3,6,0
163,10,1,1,8669
164,10,1,2,11920
165,10,1,3,910
166,10,1,4,13
167,10,1,5,2
168,10,1,6,97
169,10,2,1,31085
170,10,2,2,16774
171,10,2,3,1429
172,10,2,4,28
173,10,2,5,8
174,10,2,6,340
175,10,3,1,28
176,10,3,2,73
177,10,3,3,1
178,10,3,4,0
179,10,3,5,0
180,10,3,6,2
181,11,1,1,8292
182,11,1,2,9999
183,11,1,3,800
184,11,1,4,15
185,11,1,5,2
186,11,1,6,100
187,11,2,1,24187
188,11,2,2,14873
189,11,2,3,1343
190,11,2,4,28
191,11,2,5,8
192,11,2,6,336
193,11,3,1,20
194,11,3,2,60
195,11,3,3,3
196,11,3,4,0
197,11,3,5,0
198,11,3,6,0
199,12,1,1,8275
200,12,1,2,13576
201,12,1,3,774
202,12,1,4,17
203,12,1,5,5
204,12,1,6,120
205,12,2,1,21600
206,12,2,2,16803
207,12,2,3,1325
208,12,2,4,23
209,12,2,5,7
210,12,2,6,306
211,12,3,1,11
212,12,3,2,73
213,12,3,3,1
214,12,3,4,0
215,12,3,5,0
216,12,3,6,1
217,13,1,1,7545
218,13,1,2,14181
219,13,1,3,833
220,13,1,4,20
221,13,1,5,3
222,13,1,6,105
223,13,2,1,18091
224,13,2,2,15021
225,13,2,3,1305
226,13,2,4,29
227,13,2,5,3
228,13,2,6,310
229,13,3,1,19
230,13,3,2,58
231,13,3,3,6
232,13,3,4,0
233,13,3,5,0
234,13,3,6,0
235,14,1,1,7057
236,14,1,2,12258
237,14,1,3,806
238,14,1,4,12
239,14,1,5,1
240,14,1,6,77
241,14,2,1,14198
242,14,2,2,13867
243,14,2,3,1217
244,14,2,4,24
245,14,2,5,10
246,14,2,6,261
247,14,3,1,14
248,14,3,2,53
249,14,3,3,3
250,14,3,4,0
251,14,3,5,0
252,14,3,6,0
253,15,1,1,5752
254,15,1,2,10543
255,15,1,3,661
256,15,1,4,16
257,15,1,5,4
258,15,1,6,116
259,15,2,1,10282
260,15,2,2,11511
261,15,2,3,948
262,15,2,4,11
263,15,2,5,5
264,15,2,6,233
265,15,3,1,10
266,15,3,2,60
267,15,3,3,2
268,15,3,4,0
269,15,3,5,0
270,15,3,6,0
271,16,1,1,4258
272,16,1,2,6075
273,16,1,3,528
274,16,1,4,7
275,16,1,5,0
276,16,1,6,71
277,16,2,1,6527
278,16,2,2,6340
279,16,2,3,679
280,16,2,4,9
281,16,2,5,0
282,16,2,6,130
283,16,3,1,10
284,16,3,2,26
285,16,3,3,3
286,16,3,4,0
287,16,3,5,0
288,16,3,6,0
289,17,1,1,4564
290,17,1,2,5848
291,17,1,3,848
292,17,1,4,18
293,17,1,5,4
294,17,1,6,111
295,17,2,1,6845
296,17,2,2,6572
297,17,2,3,1050
298,17,2,4,14
299,17,2,5,5
300,17,2,6,176
301,17,3,1,11
302,17,3,2,32
303,17,3,3,3
304,17,3,4,0
305,17,3,5,0
306,17,3,6,0
307,18,1,1,418
308,18,1,2,154
309,18,1,3,31
310,18,1,4,1
311,18,1,5,0
312,18,1,6,4
313,18,2,1,783
314,18,2,2,311
315,18,2,3,16
316,18,2,4,1
317,18,2,5,0
318,18,2,6,30
319,18,3,1,13
320,18,3,2,2812
321,18,3,3,30
322,18,3,4,0
323,18,3,5,0
324,18,3,6,2
